,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
267,Rosarito,CO,2019-11-06,75,94,4.91,-75.23,75.2,4.7
268,Alice Springs,AU,2019-11-06,15,7,-23.7,133.88,89.6,10.29
269,Carnarvon,ZA,2019-11-06,33,40,-30.97,22.13,64.65,5.41
270,Coldwater,US,2019-11-06,1,79,41.94,-85.0,30.2,6.53
271,Kangaatsiaq,GL,2019-11-06,85,71,68.31,-53.46,34.11,14.5
272,Beringovskiy,RU,2019-11-06,100,90,63.05,179.32,30.9,6.64
273,Mahajanga,MG,2019-11-06,20,78,-15.72,46.32,77.0,5.82
274,Moose Factory,CA,2019-11-06,75,72,51.26,-80.61,14.0,12.75
275,Basarabeasca,UA,2019-11-06,67,76,46.33,28.97,53.6,5.82
276,Ahipara,NZ,2019-11-06,100,68,-35.17,173.16,75.0,13.09
277,Saint-Louis,SN,2019-11-06,2,65,16.03,-16.5,77.0,9.17
278,Vardo,US,2019-11-06,90,66,39.62,-77.74,52.0,5.82
279,Klaksvik,FO,2019-11-06,100,74,62.23,-6.59,35.6,10.29
280,Provideniya,RU,2019-11-06,2,73,64.42,-173.23,24.8,4.47
281,Namibe,AO,2019-11-06,100,81,-15.19,12.15,73.72,5.21
282,Santa Cruz,BR,2019-11-06,39,79,-6.22,-36.02,71.58,9.24
283,Avera,US,2019-11-06,40,93,33.19,-82.53,64.4,5.48
284,Saint-Francois,FR,2019-11-06,88,93,46.42,3.91,46.4,4.7
285,Novaya Malykla,RU,2019-11-06,100,87,54.21,49.93,45.72,21.9
286,Bathsheba,BB,2019-11-06,40,78,13.22,-59.52,82.4,18.34
287,Camocim,BR,2019-11-06,0,82,-2.9,-40.84,74.46,7.09
288,Christchurch,NZ,2019-11-06,100,87,-43.53,172.64,62.01,9.17
289,Kloulklubed,PW,2019-11-06,75,79,7.04,134.26,84.2,17.22
290,Nanortalik,GL,2019-11-06,27,88,60.14,-45.24,35.29,20.92
291,Maumere,ID,2019-11-06,0,57,-8.63,122.22,84.04,7.09
292,Ostrovnoy,RU,2019-11-06,99,81,68.05,39.51,27.36,6.87
293,Pemberton,AU,2019-11-06,0,48,-34.44,116.03,73.0,4.0
294,Mount Isa,AU,2019-11-06,90,7,-20.73,139.49,93.2,8.05
295,Dauriya,RU,2019-11-06,52,43,49.93,116.85,24.42,15.48
296,La Ronge,CA,2019-11-06,40,72,55.1,-105.3,12.2,11.41
297,Havre-Saint-Pierre,CA,2019-11-06,90,93,50.23,-63.6,42.8,10.29
298,Polovinnoye,RU,2019-11-06,100,87,54.79,65.99,33.48,12.91
299,Narsaq,GL,2019-11-06,92,80,60.91,-46.05,33.8,3.36
300,Iranshahr,IR,2019-11-06,0,37,27.21,60.69,66.2,4.65
301,Humaita,AR,2019-11-06,90,77,-24.93,-65.37,68.0,2.24
302,Protvino,RU,2019-11-06,90,93,54.87,37.22,48.2,8.95
303,Zhezkazgan,KZ,2019-11-06,90,86,47.8,67.71,28.4,8.95
304,Ardakan,IR,2019-11-06,0,49,32.31,54.02,46.4,2.24
305,Vanimo,PG,2019-11-06,51,74,-2.67,141.3,82.22,5.61
306,Llanes,ES,2019-11-06,31,87,43.42,-4.75,54.0,26.78
307,Nemuro,JP,2019-11-06,40,39,43.32,145.57,48.2,11.41
308,Pochutla,MX,2019-11-06,40,74,15.74,-96.47,80.6,3.36
309,Fort Nelson,CA,2019-11-06,5,84,58.81,-122.69,6.8,4.7
310,Wawa,NG,2019-11-06,0,56,9.9,4.41,77.76,1.9
311,Methoni,GR,2019-11-06,86,93,36.82,21.7,64.0,3.36
312,Glendive,US,2019-11-06,90,92,47.11,-104.71,30.99,5.82
313,Atambua,ID,2019-11-06,7,50,-9.11,124.89,88.9,4.16
314,Prince Rupert,CA,2019-11-06,90,93,54.32,-130.32,48.2,5.82
315,Clyde River,CA,2019-11-06,90,92,70.47,-68.59,19.4,10.29
316,Fasa,IR,2019-11-06,0,56,28.94,53.65,44.6,4.7
317,Perevolotskiy,RU,2019-11-06,99,67,51.88,54.19,33.24,16.44
318,Hofn,IS,2019-11-06,100,91,64.25,-15.21,33.22,15.23
319,Santa Maria,BR,2019-11-06,75,73,-16.02,-48.01,75.2,8.05
320,The Pas,CA,2019-11-06,1,66,53.82,-101.24,15.8,14.99
321,Dukat,AL,2019-11-06,100,91,40.25,19.57,64.0,22.79
322,Namatanai,PG,2019-11-06,100,69,-3.66,152.44,84.34,9.28
323,Yaan,NG,2019-11-06,26,91,7.38,8.57,74.34,4.12
324,Yulara,AU,2019-11-06,15,7,-25.24,130.99,89.6,6.93
325,Marzuq,YE,2019-11-06,0,61,14.4,46.47,59.49,0.96
326,Saint George,GR,2019-11-06,20,100,39.45,22.34,51.8,2.13
327,Pirogovo,RU,2019-11-06,100,91,56.78,53.16,42.01,5.01
328,College,US,2019-11-06,1,92,64.86,-147.8,19.0,3.91
329,Brae,GB,2019-11-06,99,74,60.4,-1.35,37.4,9.17
330,Ulaanbaatar,MN,2019-11-06,0,42,47.92,106.92,30.2,4.47
331,Marawi,PH,2019-11-06,49,66,8.0,124.29,84.99,5.01
332,Porto Belo,BR,2019-11-06,75,64,-27.15,-48.54,71.6,6.93
333,Bamboo,JM,2019-11-06,20,74,18.39,-77.27,82.4,6.93
334,Carrollton,US,2019-11-06,1,71,33.58,-85.08,57.0,8.05
335,Conde,BR,2019-11-06,26,78,-11.81,-37.61,78.21,19.8
336,Kalmunai,LK,2019-11-06,74,77,7.42,81.82,79.43,9.64
337,Dongfeng,CN,2019-11-06,62,27,42.67,125.53,41.76,3.06
338,Bermeo,ES,2019-11-06,75,71,43.42,-2.72,57.2,12.75
339,Minna,NG,2019-11-06,2,62,9.62,6.55,74.46,1.99
340,Ancud,CL,2019-11-06,100,87,-41.87,-73.83,50.72,7.92
341,Anadyr,RU,2019-11-06,90,79,64.73,177.51,28.4,4.47
342,Hamilton,CA,2019-11-06,75,69,43.26,-79.87,41.0,8.05
343,Flinders,AU,2019-11-06,0,17,-34.58,150.85,88.0,17.22
344,Tanout,NE,2019-11-06,12,18,14.97,8.88,80.44,9.17
345,Vao,EE,2019-11-06,100,81,59.1,26.19,31.48,7.9
346,Iqaluit,CA,2019-11-06,75,85,63.75,-68.52,19.4,5.82
347,Mehran,IR,2019-11-06,0,65,33.12,46.17,46.4,4.7
348,Abu Zabad,SD,2019-11-06,0,23,12.35,29.25,75.38,11.34
349,Sinjai,ID,2019-11-06,100,65,-5.12,120.25,83.91,7.14
350,Tateyama,JP,2019-11-06,75,51,36.66,137.31,66.0,3.36
351,Bosaso,SO,2019-11-06,11,81,11.28,49.18,82.24,15.97
352,Ouahigouya,BF,2019-11-06,1,24,13.58,-2.42,80.46,5.93
353,Manokwari,ID,2019-11-06,100,75,-0.87,134.08,79.45,5.93
354,La Tuque,CA,2019-11-06,38,95,47.44,-72.79,30.72,6.38
355,Palmer,AU,2019-11-06,40,55,-34.85,139.16,70.0,25.28
356,Dong Hoi,VN,2019-11-06,29,67,17.48,106.6,76.6,5.61
357,Inongo,CD,2019-11-06,99,96,-1.93,18.29,71.53,2.57
358,Qaqortoq,GL,2019-11-06,3,80,60.72,-46.03,33.8,3.36
359,Sidney,US,2019-11-06,75,85,47.72,-104.16,30.2,24.16
360,Maldonado,UY,2019-11-06,0,87,-34.91,-54.96,57.2,6.93
361,Porto Novo,BR,2019-11-06,75,82,-23.68,-45.44,68.0,5.82
362,Pacific Grove,US,2019-11-06,90,93,36.62,-121.92,60.01,7.11
363,Vestmannaeyjar,IS,2019-11-06,100,75,63.44,-20.27,39.25,16.33
364,Mulege,MX,2019-11-06,100,53,26.88,-111.98,74.93,2.1
365,Port Said,EG,2019-11-06,79,33,25.34,30.55,65.68,8.3
366,Byron Bay,AU,2019-11-06,0,36,-28.65,153.62,82.4,17.22
367,Olinda,AU,2019-11-06,75,28,-37.84,145.39,73.0,19.46
368,Mount Gambier,AU,2019-11-06,75,62,-37.83,140.78,59.0,23.04
369,Gizo,IL,2019-11-06,40,77,31.8,34.94,66.99,1.12
370,Zhuhai,CN,2019-11-06,20,68,40.71,112.04,48.2,4.47
371,Barranca,PE,2019-11-06,66,90,-10.75,-77.76,62.82,15.28
372,Rawson,AR,2019-11-06,1,45,-43.3,-65.11,60.62,24.96
373,Half Moon Bay,US,2019-11-06,90,93,37.46,-122.43,64.0,9.17
374,Kharian,PK,2019-11-06,40,64,32.81,73.87,68.0,11.41
375,Pangnirtung,CA,2019-11-06,100,91,66.15,-65.72,19.17,1.34
376,Henties Bay,NA,2019-11-06,0,62,-22.12,14.28,61.41,2.51
377,Mizdah,LY,2019-11-06,0,35,31.45,12.98,64.53,4.21
378,Angoram,PG,2019-11-06,26,58,-4.06,144.07,90.63,1.97
379,Naze,NG,2019-11-06,75,94,5.43,7.07,73.4,2.62
380,Saint Cloud,US,2019-11-06,28,79,45.56,-94.16,26.6,4.52
381,Ovruch,UA,2019-11-06,100,68,51.33,28.8,53.29,8.79
382,Tessalit,ML,2019-11-06,0,22,20.2,1.01,72.88,5.53
383,Guaymas,MX,2019-11-06,100,60,27.92,-110.9,73.0,3.0
384,Okha,RU,2019-11-06,100,95,53.59,142.95,33.51,18.5
385,Lyman,UA,2019-11-06,33,94,48.98,37.82,49.66,7.02
386,Elizabeth City,US,2019-11-06,20,93,36.3,-76.22,62.6,4.41
387,Fershampenuaz,RU,2019-11-06,88,80,53.52,59.82,35.64,20.69
388,Bandarbeyla,SO,2019-11-06,67,77,9.49,50.81,80.31,7.52
389,Adrar,DZ,2019-11-06,0,25,27.87,-0.29,66.2,6.93
390,Ponta Do Sol,BR,2019-11-06,92,85,-20.63,-46.0,69.89,0.63
391,Erenhot,CN,2019-11-06,0,61,43.65,111.97,40.87,11.81
392,Amapa,HN,2019-11-06,20,94,15.09,-87.97,75.2,1.79
393,Buluang,PH,2019-11-06,75,62,10.47,123.98,87.8,14.99
394,Sinazongwe,ZM,2019-11-06,15,53,-17.26,27.46,76.84,10.67
395,Kurumkan,RU,2019-11-06,100,76,54.33,110.32,10.36,1.3
396,Faridpur,BD,2019-11-06,20,83,23.6,89.84,82.4,6.93
397,Buzuluk,RU,2019-11-06,100,78,52.79,52.25,37.44,17.9
398,Betanzos,ES,2019-11-06,82,87,43.28,-8.21,57.0,6.93
399,San Pedro De Ycuamandiyu,PY,2019-11-06,88,88,-24.09,-57.08,72.84,5.23
400,Jasper,US,2019-11-06,1,100,33.83,-87.28,55.0,6.73
401,Whitehorse,CA,2019-11-06,40,85,60.72,-135.06,15.01,12.75
402,Kamakwie,SL,2019-11-06,59,92,9.5,-12.24,72.97,2.46
403,Sampit,ID,2019-11-06,0,40,-2.54,112.95,93.27,5.17
404,Lishui,CN,2019-11-06,0,52,28.45,119.91,67.21,1.81
405,Buraydah,SA,2019-11-06,4,63,26.33,43.97,66.2,8.05
406,Addanki,IN,2019-11-06,92,84,15.81,79.97,78.71,4.9
407,Karpogory,RU,2019-11-06,100,92,64.0,44.44,17.15,3.67
408,Broome,GB,2019-11-06,99,93,52.47,1.45,43.0,5.82
409,Matagami,NG,2019-11-06,0,54,9.67,8.4,68.32,2.84
410,Sept-Iles,CA,2019-11-06,90,93,50.2,-66.38,42.8,9.17
411,Sahuaripa,MX,2019-11-06,100,57,29.05,-109.23,65.89,1.74
412,Aklavik,CA,2019-11-06,90,78,68.22,-135.01,12.2,2.24
413,Myitkyina,MM,2019-11-06,2,66,25.38,97.4,75.09,2.84
414,Borgarnes,IS,2019-11-06,100,64,64.54,-21.92,33.8,13.87
415,Hualmay,PE,2019-11-06,26,83,-11.1,-77.61,61.11,2.84
416,Martapura,ID,2019-11-06,19,34,-3.41,114.85,94.32,5.86
417,Urucara,BR,2019-11-06,7,64,-2.54,-57.76,81.43,2.42
418,Yerbogachen,RU,2019-11-06,100,86,61.28,108.01,1.36,7.99
419,Borovoy,RU,2019-11-06,100,79,63.23,52.89,21.2,6.17
420,Bilibino,RU,2019-11-06,100,85,68.06,166.44,9.93,3.33
421,Naco,MX,2019-11-06,1,39,31.32,-109.94,64.4,6.93
422,Boyolangu,ID,2019-11-06,10,44,-8.09,111.9,89.06,9.91
423,Hami,CN,2019-11-06,97,22,42.84,93.51,55.29,9.93
424,Vila,IT,2019-11-06,75,100,45.18,8.4,51.01,8.05
425,Ugljevik,BA,2019-11-06,75,87,44.69,18.99,57.2,13.87
426,Yazman,SY,2019-11-06,0,54,36.74,38.46,58.51,7.72
427,Zimovniki,RU,2019-11-06,50,66,47.15,42.46,48.76,6.51
428,Boa Vista,BR,2019-11-06,23,78,2.82,-60.67,78.8,5.82
429,Ilulissat,GL,2019-11-06,94,71,69.22,-51.1,18.99,4.32
430,Tumkur,IN,2019-11-06,98,78,13.34,77.1,75.2,1.12
431,Karpathos,GR,2019-11-06,0,80,35.51,27.21,71.06,13.58
432,Noumea,NC,2019-11-06,75,88,-22.28,166.46,71.6,6.93
433,Sisimiut,GL,2019-11-06,100,76,66.94,-53.67,22.39,3.67
434,Gamba,CN,2019-11-06,0,31,28.28,88.52,32.4,3.62
435,Hervey Bay,AU,2019-11-06,24,26,-25.3,152.85,82.0,13.87
436,Kaoma,ZM,2019-11-06,1,60,-14.8,24.8,65.3,3.74
437,Constantine,DZ,2019-11-06,75,76,36.36,6.61,53.6,8.05
438,Koumac,NC,2019-11-06,88,61,-20.56,164.28,77.59,6.58
439,Sabang,PH,2019-11-06,96,85,13.8,121.11,84.0,7.0
440,Nalgonda,IN,2019-11-06,76,76,17.05,79.27,78.58,2.84
441,Mukhen,RU,2019-11-06,100,61,48.19,136.14,24.84,12.28
442,Nishihara,JP,2019-11-06,20,59,35.74,139.53,71.01,4.7
443,Misratah,LY,2019-11-06,0,60,32.38,15.09,74.95,15.03
444,Taltal,CL,2019-11-06,6,83,-25.41,-70.49,53.4,2.1
445,Port Blair,IN,2019-11-06,14,80,11.67,92.75,82.09,17.16
446,Ironton,US,2019-11-06,1,100,38.54,-82.68,42.8,3.4
447,Ponferrada,ES,2019-11-06,89,83,42.55,-6.59,48.99,6.58
448,San Cristobal,HN,2019-11-06,6,94,14.68,-86.92,64.9,2.26
449,Ilhabela,BR,2019-11-06,100,93,-23.78,-45.36,74.07,14.81
450,Omsukchan,RU,2019-11-06,100,95,62.53,155.8,19.67,13.6
451,Gigmoto,PH,2019-11-06,0,70,13.78,124.39,84.09,3.44
452,Kargat,RU,2019-11-06,51,79,55.19,80.28,26.6,16.26
453,Bungu,TZ,2019-11-06,78,95,-7.63,39.06,72.55,4.47
454,Abilene,US,2019-11-06,1,76,32.45,-99.73,55.4,6.29
455,Fallon,US,2019-11-06,90,86,46.84,-105.12,30.99,11.41
456,Adeje,NG,2019-11-06,100,95,5.68,5.76,75.24,1.66
457,Voh,NC,2019-11-06,39,80,-20.95,164.69,74.39,13.2
458,Inverell,AU,2019-11-06,0,18,-29.78,151.11,75.99,8.01
459,La Paz,MX,2019-11-06,40,78,24.15,-110.32,77.0,6.29
460,Morada Nova,BR,2019-11-06,0,82,-5.1,-38.37,73.69,7.76
461,Viransehir,TR,2019-11-06,0,58,37.24,39.76,58.14,5.68
462,Nouadhibou,MR,2019-11-06,0,72,20.93,-17.03,68.0,20.8
463,Katherine,AU,2019-11-06,44,14,-14.47,132.26,102.2,10.29
464,Nzerekore,GN,2019-11-06,18,95,7.76,-8.82,68.72,0.65
465,Batagay-Alyta,RU,2019-11-06,96,94,67.8,130.41,-4.82,2.37
466,Ouallam,NE,2019-11-06,0,17,14.32,2.08,80.22,3.42
467,Torrington,US,2019-11-06,1,80,42.06,-104.18,46.4,4.7
468,Locri,IT,2019-11-06,20,77,38.24,16.26,66.2,4.7
469,Oussouye,SN,2019-11-06,40,88,12.49,-16.54,82.4,6.93
470,Olot,ES,2019-11-06,0,93,42.18,2.49,54.0,5.82
471,Camacupa,AO,2019-11-06,99,95,-12.02,17.48,61.09,3.09
472,Taoudenni,ML,2019-11-06,100,27,22.68,-3.98,75.29,8.14
473,El Tigre,VE,2019-11-06,99,81,8.89,-64.25,76.64,11.65
474,Abapo,BO,2019-11-06,100,92,-18.83,-63.47,69.19,4.21
475,Verkhnyaya Inta,RU,2019-11-06,81,89,65.99,60.32,16.79,17.78
476,Tamandare,BR,2019-11-06,0,68,-8.28,-70.75,76.28,2.84
477,Kavaratti,IN,2019-11-06,40,79,10.57,72.64,84.2,6.93
478,Jawhar,IN,2019-11-06,0,73,19.91,73.23,77.34,1.05
479,Port-Gentil,GA,2019-11-06,99,81,-0.72,8.78,79.77,6.22
480,Layton,US,2019-11-06,1,45,41.08,-111.97,46.99,3.36
481,Tommot,RU,2019-11-06,100,91,58.97,126.27,0.66,9.33
482,Petatlan,MX,2019-11-06,40,74,17.52,-101.27,82.4,3.78
483,Batemans Bay,AU,2019-11-06,27,28,-35.71,150.18,73.0,5.01
484,Beian,NO,2019-11-06,75,85,63.66,9.57,26.01,6.93
485,Alencon,FR,2019-11-06,49,100,48.43,0.08,48.0,2.24
486,Asasa,ET,2019-11-06,44,89,7.1,39.2,46.63,5.82
487,Qasigiannguit,GL,2019-11-06,94,71,68.82,-51.19,18.99,4.32
488,Araquari,BR,2019-11-06,75,73,-26.37,-48.72,71.6,6.93
489,La Palma,CO,2019-11-06,100,98,5.36,-74.39,69.55,1.14
490,Alihe,CN,2019-11-06,100,40,50.57,123.73,16.5,9.95
491,Kolomak,UA,2019-11-06,22,88,49.84,35.31,49.23,9.95
492,Luderitz,NA,2019-11-06,0,93,-26.65,15.16,60.8,13.87
493,Takayama,JP,2019-11-06,75,51,36.14,137.25,66.0,3.36
494,Minab,IR,2019-11-06,0,68,27.15,57.07,71.6,4.7
495,Praia Da Vitoria,PT,2019-11-06,75,77,38.73,-27.07,60.8,7.67
496,Assiniboia,CA,2019-11-06,100,85,49.63,-105.99,16.86,17.07
497,Caravelas,BR,2019-11-06,7,92,-17.73,-39.27,71.71,8.75
498,Sault Sainte Marie,CA,2019-11-06,40,63,46.49,-84.36,26.6,14.99
499,Cardston,CA,2019-11-06,90,85,49.2,-113.32,17.6,13.87
500,Waddan,LY,2019-11-06,0,32,29.16,16.14,70.72,9.46
501,Jiblah,YE,2019-11-06,0,54,13.92,44.15,60.51,2.51
502,Tahe,CN,2019-11-06,0,57,52.34,124.71,10.54,15.17
503,Sorong,ID,2019-11-06,91,80,-0.86,131.25,81.16,5.73
504,Kirkwall,GB,2019-11-06,100,86,58.98,-2.96,39.2,13.18
505,Bjornevatn,NO,2019-11-06,20,92,69.67,29.98,14.0,5.82
506,Trairi,BR,2019-11-06,58,81,-3.28,-39.27,76.32,9.19
507,Dunedin,NZ,2019-11-06,99,74,-45.87,170.5,54.0,14.0
508,Harper,US,2019-11-06,1,93,30.3,-99.24,70.0,5.23
509,Pakxan,LA,2019-11-06,3,58,18.39,103.66,79.7,2.46
510,Trelew,AR,2019-11-06,3,32,-43.25,-65.31,61.12,29.17
511,Longyan,CN,2019-11-06,0,43,25.1,117.03,70.72,2.91
512,Quchan,IR,2019-11-06,0,47,37.11,58.51,33.1,4.45
513,Sarangani,PH,2019-11-06,22,69,5.4,125.46,84.52,14.43
514,San Ramon De La Nueva Oran,AR,2019-11-06,100,73,-23.13,-64.33,68.07,2.53
515,Kibiti,TZ,2019-11-06,78,95,-7.72,38.94,72.55,4.47
516,Keetmanshoop,NA,2019-11-06,60,26,-26.57,18.15,71.6,12.75
517,Butzbach,DE,2019-11-06,75,100,50.43,8.67,46.99,4.7
518,Mae Sai,MM,2019-11-06,75,88,20.44,99.89,77.0,3.36
519,Porangatu,BR,2019-11-06,100,90,-13.44,-49.14,75.15,1.68
520,Aksu,KZ,2019-11-06,0,92,52.04,76.93,24.8,6.71
521,Whitianga,NZ,2019-11-06,100,57,-36.83,175.7,75.99,1.01
522,Radnevo,BG,2019-11-06,5,100,42.29,25.93,62.01,2.24
523,Vila Franca Do Campo,PT,2019-11-06,75,72,37.72,-25.43,60.8,1.12
524,Petropavl,KZ,2019-11-06,90,80,54.87,69.13,33.8,15.66
525,Vostok,RU,2019-11-06,100,77,46.45,135.83,19.13,10.11
526,George Town,MY,2019-11-06,75,66,5.42,100.33,87.8,5.82
527,Fairbanks,US,2019-11-06,1,92,64.84,-147.72,19.0,2.33
528,Carauari,BR,2019-11-06,79,88,-4.88,-66.9,76.39,1.19
529,Waipawa,NZ,2019-11-06,100,62,-39.94,176.59,68.0,8.99
530,Brenham,US,2019-11-06,1,88,30.17,-96.4,73.4,4.7
531,Jalu,LY,2019-11-06,0,41,29.03,21.55,65.95,4.54
532,Nokaneng,BW,2019-11-06,0,30,-19.66,22.19,76.01,4.45
533,Biak,ID,2019-11-06,70,73,-0.91,122.88,81.48,14.88
534,Raudeberg,NO,2019-11-06,100,69,61.99,5.14,37.0,8.05
535,Tucuman,PE,2019-11-06,100,59,-17.17,-70.89,55.94,0.49
